TargetName	Module	CodeClass	GeneID	SystematicName	Negative
EDN3	Hs_R_NGS_WTA_v1.0	Endogenous	1908	EDN3	FALSE
EMD	Hs_R_NGS_WTA_v1.0	Endogenous	2010	EMD	FALSE
EPB42	Hs_R_NGS_WTA_v1.0	Endogenous	2038	EPB42	FALSE
EPHX1	Hs_R_NGS_WTA_v1.0	Endogenous	2052	EPHX1	FALSE
EPOR	Hs_R_NGS_WTA_v1.0	Endogenous	2057	EPOR	FALSE
ERCC5	Hs_R_NGS_WTA_v1.0	Endogenous	2073, 100533467	BIVM-ERCC5, ERCC5	FALSE
ESR1	Hs_R_NGS_WTA_v1.0	Endogenous	2099	ESR1	FALSE
EXT1	Hs_R_NGS_WTA_v1.0	Endogenous	2131	EXT1	FALSE
F11	Hs_R_NGS_WTA_v1.0	Endogenous	2160	F11	FALSE
F13A1	Hs_R_NGS_WTA_v1.0	Endogenous	2162	F13A1	FALSE
F5	Hs_R_NGS_WTA_v1.0	Endogenous	2153	F5	FALSE
F9	Hs_R_NGS_WTA_v1.0	Endogenous	2158	F9	FALSE
FABP2	Hs_R_NGS_WTA_v1.0	Endogenous	2169	FABP2	FALSE
FANCA	Hs_R_NGS_WTA_v1.0	Endogenous	2175	FANCA	FALSE
FAH	Hs_R_NGS_WTA_v1.0	Endogenous	2184	FAH	FALSE
MS4A2	Hs_R_NGS_WTA_v1.0	Endogenous	2206	MS4A2	FALSE
FECH	Hs_R_NGS_WTA_v1.0	Endogenous	2235	FECH	FALSE
FGFR2	Hs_R_NGS_WTA_v1.0	Endogenous	2263	FGFR2	FALSE
FH	Hs_R_NGS_WTA_v1.0	Endogenous	2271	FH	FALSE
FSHR	Hs_R_NGS_WTA_v1.0	Endogenous	2492	FSHR	FALSE
FUCA1	Hs_R_NGS_WTA_v1.0	Endogenous	2517	FUCA1	FALSE
FUT1	Hs_R_NGS_WTA_v1.0	Endogenous	2523	FUT1	FALSE
FUT6	Hs_R_NGS_WTA_v1.0	Endogenous	2528	FUT6	FALSE
G6PC1	Hs_R_NGS_WTA_v1.0	Endogenous	2538	G6PC1	FALSE
GALC	Hs_R_NGS_WTA_v1.0	Endogenous	2581	GALC	FALSE
GALK1	Hs_R_NGS_WTA_v1.0	Endogenous	2584	GALK1	FALSE
GALT	Hs_R_NGS_WTA_v1.0	Endogenous	2592	GALT	FALSE
GBE1	Hs_R_NGS_WTA_v1.0	Endogenous	2632	GBE1	FALSE
GCDH	Hs_R_NGS_WTA_v1.0	Endogenous	2639	GCDH	FALSE
GCGR	Hs_R_NGS_WTA_v1.0	Endogenous	2642	GCGR	FALSE
GCH1	Hs_R_NGS_WTA_v1.0	Endogenous	2643	GCH1	FALSE
GHR	Hs_R_NGS_WTA_v1.0	Endogenous	2690	GHR	FALSE
GIPR	Hs_R_NGS_WTA_v1.0	Endogenous	2696	GIPR	FALSE
GJA1	Hs_R_NGS_WTA_v1.0	Endogenous	2697	GJA1	FALSE
GJB1	Hs_R_NGS_WTA_v1.0	Endogenous	2705	GJB1	FALSE
GK	Hs_R_NGS_WTA_v1.0	Endogenous	2713, 2710	GK, GK3P	FALSE
GLI3	Hs_R_NGS_WTA_v1.0	Endogenous	2737	GLI3	FALSE
GLDC	Hs_R_NGS_WTA_v1.0	Endogenous	2731	GLDC	FALSE
GNAT1	Hs_R_NGS_WTA_v1.0	Endogenous	2779	GNAT1	FALSE
GP1BA	Hs_R_NGS_WTA_v1.0	Endogenous	2811	GP1BA	FALSE
GP9	Hs_R_NGS_WTA_v1.0	Endogenous	2815	GP9	FALSE
GPI	Hs_R_NGS_WTA_v1.0	Endogenous	2821	GPI	FALSE
GSN	Hs_R_NGS_WTA_v1.0	Endogenous	2934	GSN	FALSE
GSS	Hs_R_NGS_WTA_v1.0	Endogenous	2937	GSS	FALSE
MSH6	Hs_R_NGS_WTA_v1.0	Endogenous	2956	MSH6	FALSE
GUCY2D	Hs_R_NGS_WTA_v1.0	Endogenous	3000	GUCY2D	FALSE
GUSB	Hs_R_NGS_WTA_v1.0	Endogenous	2990	GUSB	FALSE
HADHA	Hs_R_NGS_WTA_v1.0	Endogenous	3030	HADHA	FALSE
HADHB	Hs_R_NGS_WTA_v1.0	Endogenous	3032	HADHB	FALSE
HBG2	Hs_R_NGS_WTA_v1.0	Endogenous	3048, 3047	HBG2, HBG1	FALSE
SERPIND1	Hs_R_NGS_WTA_v1.0	Endogenous	3053	SERPIND1	FALSE
HGD	Hs_R_NGS_WTA_v1.0	Endogenous	3081	HGD	FALSE
HK1	Hs_R_NGS_WTA_v1.0	Endogenous	3098	HK1	FALSE
HK2	Hs_R_NGS_WTA_v1.0	Endogenous	3099	HK2	FALSE
HMGCL	Hs_R_NGS_WTA_v1.0	Endogenous	3155	HMGCL	FALSE
SHH	Hs_R_NGS_WTA_v1.0	Endogenous	6469	SHH	FALSE
HPRT1	Hs_R_NGS_WTA_v1.0	Endogenous	3251	HPRT1	FALSE
HPS1	Hs_R_NGS_WTA_v1.0	Endogenous	3257	HPS1	FALSE
HSD11B2	Hs_R_NGS_WTA_v1.0	Endogenous	3291	HSD11B2	FALSE
HSD17B3	Hs_R_NGS_WTA_v1.0	Endogenous	3293	HSD17B3	FALSE
HSD3B2	Hs_R_NGS_WTA_v1.0	Endogenous	3284	HSD3B2	FALSE
SGSH	Hs_R_NGS_WTA_v1.0	Endogenous	6448	SGSH	FALSE
HTN3	Hs_R_NGS_WTA_v1.0	Endogenous	3347	HTN3	FALSE
ICAM1	Hs_R_NGS_WTA_v1.0	Endogenous	3383	ICAM1	FALSE
IDS	Hs_R_NGS_WTA_v1.0	Endogenous	3423	IDS	FALSE
IDUA	Hs_R_NGS_WTA_v1.0	Endogenous	3425	IDUA	FALSE
CFI	Hs_R_NGS_WTA_v1.0	Endogenous	3426	CFI	FALSE
IL2RG	Hs_R_NGS_WTA_v1.0	Endogenous	3561	IL2RG	FALSE
INS	Hs_R_NGS_WTA_v1.0	Endogenous	3630	INS	FALSE
INSR	Hs_R_NGS_WTA_v1.0	Endogenous	3643	INSR	FALSE
PDX1	Hs_R_NGS_WTA_v1.0	Endogenous	3651	PDX1	FALSE
ITGA6	Hs_R_NGS_WTA_v1.0	Endogenous	3655	ITGA6	FALSE
ITGB2	Hs_R_NGS_WTA_v1.0	Endogenous	3689	ITGB2	FALSE
JAG1	Hs_R_NGS_WTA_v1.0	Endogenous	182	JAG1	FALSE
JAK3	Hs_R_NGS_WTA_v1.0	Endogenous	3718	JAK3	FALSE
ANOS1	Hs_R_NGS_WTA_v1.0	Endogenous	3730	ANOS1	FALSE
KCNA1	Hs_R_NGS_WTA_v1.0	Endogenous	3736	KCNA1	FALSE
KHK	Hs_R_NGS_WTA_v1.0	Endogenous	3795	KHK	FALSE
KRT12	Hs_R_NGS_WTA_v1.0	Endogenous	3859	KRT12	FALSE
KRT18	Hs_R_NGS_WTA_v1.0	Endogenous	3875	KRT18	FALSE
KRT9	Hs_R_NGS_WTA_v1.0	Endogenous	3857	KRT9	FALSE
