Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	CellType
SEMA5A	-0.9374528410677425	7.262372826197287	-6.106794891234436	4.710600279557921e-9	2.0538217218872535e-6	10.35788432949452	glomeruli
ACTN4	-0.8142360590714897	9.198264364987251	-6.093652881414316	5.052427844119602e-9	2.1110727675346404e-6	10.285081511413917	glomeruli
YWHAE	-0.6716384937331676	8.842948909594456	-6.054994722769728	6.205029146402269e-9	2.3932320107739214e-6	10.102727343674355	glomeruli
NEDD9	-1.0299765904148845	6.679700062725146	-6.056937007329943	6.141421858766802e-9	2.3932320107739214e-6	10.063777944347077	glomeruli
ZDHHC6	-0.961792619603497	8.269294467269882	-6.040833186369662	6.688710710041867e-9	2.4842367037148087e-6	10.027590564023058	glomeruli
TPPP3	-0.9641586958988878	7.152356437668081	-6.030600736874672	7.060983291054494e-9	2.528840730096231e-6	9.976518222299067	glomeruli
CSDE1	-0.773071238456585	8.444830791190517	-5.991879294911081	8.66244074496623e-9	2.9954122686386673e-6	9.7881844699984	glomeruli
CCNI	-0.7586248994762491	8.168538435201222	-5.971096415946796	9.663437284989379e-9	3.230164969795783e-6	9.685007262328782	glomeruli
EPAS1	-1.1815060772209693	8.73397554538703	-5.878315329139236	1.569645443907278e-8	5.077549842420059e-6	9.197083298480552	glomeruli
MAL2	-1.0936679531068922	7.651826588834998	-5.838525835620691	1.929607269602049e-8	6.046906781115421e-6	9.027851324171127	glomeruli
TNS3	-0.9203996763658486	7.159783447904262	-5.8084801986544266	2.2537495926172672e-8	6.8486669438684716e-6	8.867139453697904	glomeruli
STARD7	-0.7950153451522122	7.429957172322073	-5.7997002030392295	2.3581298811821427e-8	6.955096014263096e-6	8.82916881182809	glomeruli
MYH9	-0.7563545926307593	9.764958305654082	-5.708963322756388	3.754745646754451e-8	1.0757882670186754e-5	8.332582270952052	glomeruli
KLK6	-1.0054582963045473	6.519007997369846	-5.585498119406251	7.013737051859607e-8	1.9537154210013373e-5	7.789825390950209	glomeruli
NEBL	-0.8863631329729261	7.255221395427628	-5.563487041800351	7.832468943758002e-8	2.06694733073698e-5	7.711644523797698	glomeruli
CLIC5	-0.8772841408815206	8.625848576870116	-5.567880530538809	7.661932338139914e-8	2.06694733073698e-5	7.658351961123801	glomeruli
DCN	-1.2312916242052043	8.453039762326068	-5.501504206581378	1.0671292028671738e-7	2.743890165731287e-5	7.392511490407814	glomeruli
INMT	-1.2529136504479064	7.1324904560979405	-5.462642790546063	1.2938865329260238e-7	3.243773538045541e-5	7.240691744875584	glomeruli
HTRA1	-0.8860762128727027	8.728818880643274	-5.44825404067046	1.3892295617086736e-7	3.3978522060523364e-5	7.087774866508833	glomeruli
WT1	-0.8993613635229574	6.847005474535152	-5.413721988893077	1.646820074453379e-7	3.785738327581504e-5	7.014773837389559	glomeruli
PPP2CB	-0.7608700141469847	7.529575672990408	-5.411968289357977	1.6610738573353227e-7	3.785738327581504e-5	7.006751002265481	glomeruli
SERINC1	-0.5800316656848344	8.450757700975416	-5.406577378019765	1.7056465461983818e-7	3.800938570061638e-5	6.962169550914961	glomeruli
SERF2	-0.8012208272973339	8.041012367078428	-5.391696308489865	1.8348144011670558e-7	3.999895394544182e-5	6.912197683039273	glomeruli
SLC2A3	1.3765189728847342	7.452507436856046	5.382061202310122	1.9234740460631813e-7	4.103956964664166e-5	6.86911949500521	glomeruli
ARMH4	-0.7253331732525072	7.842057966855686	-5.377002375487914	1.9716794261415165e-7	4.119166934447318e-5	6.821416667245483	glomeruli
SORT1	-0.7720700455137351	7.371488474199219	-5.358614808049775	2.1569984353290527e-7	4.39120988937669e-5	6.762185642454068	glomeruli
TLN1	-0.7164384283003413	7.782719329510912	-5.355551657327387	2.1894744163226416e-7	4.39120988937669e-5	6.745154195126894	glomeruli
MYO1E	-0.8257991696717245	7.0521894858972045	-5.317292653938217	2.6374267390742096e-7	5.185904968516897e-5	6.573337787430319	glomeruli
TSPY1	1.7078349185882982	5.417986218224478	5.424470908447502	1.5620213363316413e-7	3.729511895412785e-5	6.31112916357514	glomeruli
PTGES3	-0.8801126857185678	7.494591567183199	-5.224431700994158	4.127469739865479e-7	7.809484254975666e-5	6.156565826884863	glomeruli
RBMY1J	1.3226115705093164	5.494644500807596	5.311769423591057	2.709050236293746e-7	5.224299186452631e-5	6.119252868244029	glomeruli
SYNPO	-0.79952519982011	7.721476156538786	-5.215436881282881	4.3091803779230527e-7	8.002307561076365e-5	6.094352725950183	glomeruli
ORM2	0.8723351743994933	6.66018107763465	5.201551948134662	4.6050314307968065e-7	8.396228216005522e-5	6.022695546305544	glomeruli
PLS3	-0.7383230645291443	7.154251948680283	-5.149581877787964	5.897698682844609e-7	1.0561093284208168e-4	5.8242554438165595	glomeruli
NPHS1	-0.8461571130876073	7.50697825212265	-5.13776857274969	6.237337548101324e-7	1.0973337005677206e-4	5.75078979745491	glomeruli
SPTAN1	-0.5964594385388273	7.9533470140565985	-5.08103308547387	8.151268102557006e-7	1.3962188776849726e-4	5.507949959238304	glomeruli
TGFBR3	-0.8028693042071687	7.708755973779292	-5.07938318997021	8.214690245653508e-7	1.3962188776849726e-4	5.481057673195791	glomeruli
TCF21	-0.9265281074959858	7.121663232377898	-5.0710781831201075	8.541272806513219e-7	1.4275313950619094e-4	5.47326717814071	glomeruli
FLRT3	-0.8316836669873593	6.891368627952017	-5.0551498350325215	9.2032198425689e-7	1.4885465900206602e-4	5.4106338479969684	glomeruli
HNRNPM	-0.6004266935421408	7.394264337479004	-5.044081627036282	9.692199937293205e-7	1.5427520789075596e-4	5.362452777873301	glomeruli
CD81	-0.7477044518674962	9.516820946384593	-5.062312144749588	8.899635874553403e-7	1.4630417795085497e-4	5.33089506908475	glomeruli
AHNAK	-0.6493510947093261	8.517687225922057	-4.985700949843252	1.2718018423343785e-6	1.9927545117076793e-4	5.064843809560846	glomeruli
HNRNPH3	-0.6569848197293913	7.673336819601491	-4.956721792834511	1.4541900388451418e-6	2.2094875317483457e-4	4.9778569155334464	glomeruli
MORF4L1	-0.5560896289268032	8.452024274108473	-4.952010880063903	1.4861384594169428e-6	2.224327831497478e-4	4.930475966543524	glomeruli
RIPOR1	-0.7405506165971789	7.771474142241389	-4.934761328947893	1.6090231756416735e-6	2.3728359419609855e-4	4.86848540832901	glomeruli
TJP1	-0.8033073899064958	7.275816032847338	-4.923498722413368	1.6945047677563666e-6	2.462680262472586e-4	4.839884098801793	glomeruli
GLUL	-0.7729138288180265	8.0595378652288	-4.917537553875161	1.7415114139186815e-6	2.494839494110934e-4	4.795872274278947	glomeruli
RAC1	-0.6938356075276426	7.2817661378552545	-4.89933745144049	1.8929673199097702e-6	2.67361637803594e-4	4.742275162016351	glomeruli
NELL1	1.4734688335172732	5.3796436187144065	4.977735871118294	1.3195961452535971e-6	2.0358323299389343e-4	4.695102690991927	glomeruli
PRKAR2B	-0.909080390223092	6.3084831127026275	-4.872669763881602	2.138123054195501e-6	2.9779302760378447e-4	4.626710123046577	glomeruli
ARHGAP19	-0.8286357108905551	6.175084861923981	-4.857071682834833	2.2954631055354046e-6	3.144260651295555e-4	4.552180110055035	glomeruli
PARVA	-0.5800118482515562	7.716305428408423	-4.854708560173153	2.3202561646975573e-6	3.144260651295555e-4	4.534543500562513	glomeruli
CHD3	-0.8553240785034166	6.6143909665960035	-4.81262102666889	2.8077118230452015e-6	3.677465198006293e-4	4.380078691625153	glomeruli
IL6ST	-0.6628244346280684	8.553308225295948	-4.826992351547341	2.63107457956734e-6	3.517922117853505e-4	4.3762082431328535	glomeruli
YAP1	-0.6793768263048725	7.19794477033533	-4.808502191537836	2.86041369609584e-6	3.677465198006293e-4	4.361607050192539	glomeruli
PTMA	-0.5865758621635832	9.714298622225419	-4.8091362121950345	2.8522394025741414e-6	3.677465198006293e-4	4.232215249671381	glomeruli
EIF4G2	-0.7012704168848604	8.560943155800683	-4.787678853076656	3.1418254506870025e-6	3.9382782024361573e-4	4.2222593842920135	glomeruli
